ID,income,debt 1,debt 2,credit,age,edu,exp,red,loyalty
511,24,19.1,2.411184,2.172816,24,2,3,1,0
512,52,9.2,3.286608,1.497392,34,3,13,7,0
513,25,4.2,0.46515,0.58485,29,2,6,9,0
514,21,8.3,1.014426,0.728574,31,1,6,9,0
515,48,8.6,2.926752,1.201248,42,2,14,1,1
516,51,15,7.10685,0.54315,49,2,11,1,0
517,73,14.3,6.712277,3.726723,39,1,22,9,0
518,22,4.2,0.893508,0.030492,45,3,0,19,0
519,32,2.9,0.855616,0.072384,41,1,7,22,0
520,46,1.6,0.494592,0.241408,29,2,9,0,0
521,38,15.1,4.355142,1.382858,35,3,7,5,0
522,25,6.8,0.9945,0.7055,27,2,5,6,0
523,19,4.1,0.492328,0.286672,28,1,4,7,0
524,66,3.2,0.64416,1.46784,48,1,17,22,0
525,18,6,0.55188,0.52812,24,1,2,5,0
526,33,4.2,1.24047,0.14553,31,1,6,12,0
527,69,6.4,4.005312,0.410688,43,1,10,9,0
528,24,10.6,1.877472,0.666528,42,1,3,10,0
529,249,7.8,15.14916,4.27284,51,2,31,14,0
530,19,23.1,2.50173,1.88727,22,1,4,3,1
531,31,11.7,1.925937,1.701063,37,,6,10,1
532,,13.8,,1.97685,22,3,1,3,1
533,20,16.9,3.00144,0.37856,49,2,2,13,1
534,30,8.2,2.30502,0.15498,29,1,9,8,0
535,30,9.7,1.43754,1.47246,42,1,2,16,0
536,67,13.2,5.102988,3.741012,34,1,15,0,0
537,27,1.7,0.163863,0.295137,34,2,9,7,0
538,43,15,4.644,1.806,32,2,5,5,1
539,66,9.6,4.694976,1.641024,42,2,18,23,0
540,14,16.1,1.415512,0.838488,24,1,3,0,1
541,48,7.6,2.174208,1.473792,34,1,16,9,0
542,32,4.7,1.377664,0.126336,26,1,10,2,0
543,68,20.1,10.811388,2.856612,30,2,12,9,0
544,16,28.5,3.66624,0.89376,32,1,4,3,1
545,25,5.7,1.081575,0.343425,38,3,13,18,0
546,37,8.5,2.468825,0.676175,43,2,10,24,0
547,53,13.5,5.960115,1.194885,31,2,9,8,0
548,123,17.3,18.257382,3.021618,,4,10,18,0
549,20,21.7,4.1664,0.1736,37,2,4,11,1
550,,26.5,17.79899,4.99101,41,3,12,11,1
551,20,3,0.3366,0.2634,32,1,0,4,1
552,35,9,2.3688,0.7812,22,2,0,1,1
553,63,18.2,5.916456,5.549544,32,2,12,3,0
554,41,9.5,3.439285,0.455715,,2,17,23,0
555,46,6.2,1.885172,0.966828,40,1,21,21,0
556,22,6.7,1.104026,0.369974,31,1,8,1,0
557,27,2.2,0.468666,0.125334,34,3,7,0,0
558,234,7.7,10.63062,7.38738,52,4,13,17,0
559,17,2.5,0.225675,0.199325,28,1,2,2,1
560,63,13.4,3.351474,5.090526,38,3,15,18,0
561,26,3.1,0.775372,0.030628,33,2,10,4,0
562,32,6.6,0.682176,1.429824,39,2,9,12,0
563,115,4,3.9468,0.6532,47,3,23,11,0
564,49,1.3,0.364364,0.272636,36,2,11,8,0
565,84,13.6,4.51248,6.91152,29,3,7,2,1
566,59,16.5,4.799355,4.935645,48,4,14,10,1
567,64,5.8,2.817408,0.894592,38,3,12,18,0
568,15,4.3,0.630165,0.014835,46,2,9,26,0
569,42,19.9,5.650008,2.707992,27,3,5,4,1
570,114,8.5,6.3954,3.2946,54,1,18,34,0
571,,12.7,1.755775,1.419225,27,4,0,0,1
572,17,1.6,0.260304,0.011696,23,1,1,0,0
573,91,13.7,11.893518,0.573482,41,1,23,2,0
574,15,11.3,1.622115,0.072885,24,1,3,5,1
575,22,27.7,0.810502,5.283498,28,1,9,0,1
576,14,10.5,1.21422,0.25578,26,1,0,0,0
577,17,5.6,0.382704,0.569296,24,1,8,0,1
578,79,7.3,5.47865,0.28835,49,2,22,4,0
579,36,8.6,2.712096,0.383904,28,2,3,1,0
580,18,13,2.20896,0.13104,38,1,6,17,0
581,37,4.5,0.830835,0.834165,33,2,2,9,0
582,25,4.7,0.964675,0.210325,26,1,8,4,0
583,40,9.8,1.94432,1.97568,36,1,9,1,0
584,50,36.6,10.98,7.32,37,3,16,14,1
585,18,33.4,3.210408,2.801592,25,4,0,1,1
586,33,4.8,0.890208,0.693792,29,1,9,2,0
587,38,6.9,2.257542,0.364458,27,2,8,4,0
588,62,15,6.8634,2.4366,45,1,17,0,0
589,57,5.5,1.777545,1.357455,37,1,9,8,0
590,26,6.1,1.048346,0.537654,29,2,3,6,1
591,44,13.2,0.847968,4.960032,51,1,10,1,1
592,23,8.4,1.559124,0.372876,22,3,0,0,1
593,30,15.7,4.44624,0.26376,30,4,7,10,0
594,20,12.3,2.3493,0.1107,31,1,7,2,0
595,18,14.8,0.724608,1.939392,28,1,2,0,1
596,,5.7,2.005146,0.217854,35,1,10,16,0
597,34,8.5,2.75706,0.13294,25,4,1,1,1
598,28,14.8,1.549856,2.594144,32,2,5,0,1
599,24,9.6,1.262592,1.041408,33,1,2,10,0
600,41,25.1,4.394257,5.896743,28,2,3,4,1
601,73,5.4,1.718712,2.223288,46,3,4,17,0
602,83,14,5.03146,6.58854,41,1,24,12,0
603,73,6.8,2.094808,2.869192,42,2,11,5,0
604,47,5,1.9129,0.4371,41,4,9,13,0
605,29,25.7,4.926433,2.526567,26,1,3,5,1
606,113,9.2,8.015316,2.380684,47,1,27,8,0
607,18,25.6,2.62656,1.98144,29,1,1,3,1
608,36,4.7,1.067652,0.624348,34,1,3,14,0
609,43,6.2,1.62626,1.03974,36,1,7,2,0
610,64,3,1.26912,0.65088,38,2,7,4,0
611,26,19.2,3.51936,1.47264,41,2,4,14,1
612,31,13.8,2.660916,1.617084,46,1,9,23,0
613,55,16.5,7.323525,1.751475,40,3,3,15,1
614,129,2.5,2.673525,0.551475,44,2,17,0,0
615,39,10.4,2.45388,1.60212,35,3,10,15,0
616,,5.4,2.18376,1.05624,36,1,20,15,0
617,30,4.8,1.31904,0.12096,28,1,0,3,1
618,18,5.1,0.46818,0.44982,29,2,6,7,1
619,22,11.4,1.233936,1.274064,23,2,3,3,1
620,63,15.4,5.064444,4.637556,41,2,7,17,0
621,,6.9,1.120905,0.190095,25,1,1,1,0
622,29,5.4,1.122822,0.443178,45,2,2,19,0
623,148,7.2,6.681312,3.974688,48,2,30,14,0
624,45,7,2.6145,0.5355,38,1,18,7,0
625,,5.4,1.314036,1.169964,29,1,6,4,0
626,186,3.6,4.292136,2.403864,42,4,15,8,0
627,47,10.9,2.259243,2.863757,31,1,11,12,0
628,23,6.9,1.177554,0.409446,40,1,3,13,0
629,21,19.8,3.135132,1.022868,26,1,2,6,0
630,22,20.2,2.182004,2.261996,25,1,6,6,0
631,61,7.9,2.944409,1.874591,53,4,7,11,0
632,102,14.1,8.600436,5.781564,50,3,18,27,0
633,136,23.1,17.184552,14.231448,47,1,31,9,1
634,21,8.4,0.553896,1.210104,23,1,1,0,1
635,83,4.1,3.083118,0.319882,37,3,12,8,0
636,100,11.5,6.44,5.06,41,1,24,15,0
637,29,13.3,1.708651,2.148349,28,2,0,7,1
638,41,30.7,9.591294,2.995706,31,1,7,11,1
639,19,6.3,1.072512,0.124488,41,2,6,1,0
640,40,9.9,2.26512,1.69488,36,1,7,17,0
641,19,4.4,0.594396,0.241604,41,1,1,16,0
642,44,5.6,1.130976,1.333024,53,2,16,31,0
643,25,11.5,0.543375,2.331625,31,2,6,5,0
644,25,2.9,0.386425,0.338575,28,2,5,6,0
645,70,12,4.0656,4.3344,48,1,28,25,0
646,42,3.9,0.619164,1.018836,23,2,0,1,1
647,34,6.8,2.013752,0.298248,31,1,11,6,0
648,43,4.9,1.224167,0.882833,27,1,6,6,0
649,37,1.3,0.301106,0.179894,43,1,11,17,0
650,28,18.7,3.110184,2.125816,29,2,5,7,0
651,27,6.4,1.133568,0.594432,53,1,6,7,1
652,19,13.6,1.338512,1.245488,38,1,4,9,0
653,38,8.5,3.05881,0.17119,30,1,12,10,0
654,20,9.4,1.64688,0.23312,28,3,2,0,1
655,33,32.5,9.45945,1.26555,36,1,11,2,0
656,60,2.1,0.9387,0.3213,48,1,15,5,0
657,24,6.6,1.142064,0.441936,31,1,12,9,0
658,57,10.5,4.841865,1.143135,35,1,16,10,0
659,23,12.5,2.734125,0.140875,50,1,4,4,0
660,55,15,5.71725,2.53275,42,2,12,9,0
661,28,7.1,1.803116,0.184884,40,1,2,3,0
662,31,0.9,0.160983,0.118017,37,2,0,13,1
663,54,2.8,1.109808,0.402192,31,3,6,8,0
664,35,8,1.5344,1.2656,38,1,11,13,0
665,77,10.6,2.660812,5.501188,35,1,15,1,0
666,101,5.6,2.663976,2.992024,44,1,24,10,0
667,113,13.2,11.723976,3.192024,44,2,21,14,0
668,23,0.9,0.129582,0.077418,33,1,0,12,0
669,29,4.9,1.156694,0.264306,35,1,7,14,0
670,43,13,4.62852,0.96148,36,3,10,4,0
671,24,6.3,0.96012,0.55188,23,2,3,4,0
672,18,12.8,1.721088,0.582912,27,1,0,7,0
673,,1.2,0.19752,0.04248,34,1,6,1,0
674,34,11.1,2.404038,1.369962,35,1,0,5,1
675,20,3.7,0.41588,0.32412,24,2,4,4,0
676,101,6.4,4.58944,1.87456,48,2,30,8,0
677,40,11.8,4.27632,0.44368,26,2,8,1,0
678,36,2.1,0.365148,0.390852,40,1,6,9,1
679,48,9.3,4.044384,0.419616,34,1,9,8,0
680,42,3,1.16676,0.09324,35,1,17,4,0
681,33,25.4,7.216902,1.165098,30,1,7,2,1
682,14,9.7,1.157016,0.200984,20,1,4,0,1
683,30,11.5,3.1257,0.3243,36,4,1,17,0
684,16,6.3,0.86688,0.14112,21,1,1,1,0
685,53,10.5,4.724685,0.840315,34,1,18,10,0
686,39,16.1,4.577391,1.701609,35,1,7,5,1
687,20,7.9,0.7268,0.8532,35,3,1,4,0
688,33,10.3,0.897336,2.501664,34,1,10,1,1
689,68,10.8,5.978016,1.365984,33,1,12,12,0
690,18,10.7,1.698732,0.227268,30,1,4,2,0
691,16,7.3,1.143472,0.024528,24,2,0,5,0
692,253,7.2,8.907624,9.308376,47,1,31,8,0
693,,28.9,5.048541,2.754459,,1,0,26,1
694,20,4.7,0.72098,0.21902,22,3,0,2,0
695,66,12.1,5.67006,2.31594,48,2,6,1,0
696,27,4.6,0.979938,0.262062,36,2,6,15,1
697,21,11.5,2.045505,0.369495,29,2,6,4,0
698,32,7.6,1.940736,0.491264,33,1,15,3,0
699,77,8.4,4.165392,2.302608,45,1,19,22,0
700,,14.7,3.473316,2.994684,37,1,12,14,0
